"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO",5006259,"4306",4940,2513,2427,1200,2694,1046,626,1328,473
2015,"MUNICIPIO",5006275,"5150",NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO",5006309,"41495",40192,19957,20235,8697,21858,9637,4314,11047,4874
2015,"MUNICIPIO",5006358,"13494",12350,6261,6089,4876,5862,1612,2400,2925,764
2015,"MUNICIPIO",5006408,"7794",7967,4149,3818,1866,4299,1802,881,2111,826
2015,"MUNICIPIO",5006606,"86717",77872,38492,39380,22579,41883,13410,10974,21514,6892
2015,"MUNICIPIO",5006903,"16514",15372,8234,7138,4648,8368,2356,2210,3833,1095
2015,"MUNICIPIO",5007109,"23167",20946,10982,9964,5784,12144,3018,2921,5730,1313
2015,"MUNICIPIO",5007208,"34776",30663,15711,14952,8295,17629,4739,4140,8500,2312
2015,"MUNICIPIO",5007307,"4910",5036,2604,2432,1159,2605,1272,571,1276,585
2015,"MUNICIPIO",5007406,"19462",18890,9486,9404,4618,10112,4160,2303,5076,2025
2015,"MUNICIPIO",5007505,"5252",4928,2573,2355,1224,2564,1140,602,1240,513
2015,"MUNICIPIO",5007554,"7633",7259,3805,3454,1917,4062,1280,917,1978,559
2015,"MUNICIPIO",5007695,"24982",22203,11200,11003,5611,12949,3643,2751,6484,1768
2015,"MUNICIPIO",5007703,"10832",10780,5481,5299,2803,5651,2326,1341,2849,1109
2015,"MUNICIPIO",5007802,"6455",6287,3215,3072,1494,3482,1311,733,1717,622
2015,"MUNICIPIO",5007901,"51355",42132,21515,20617,11475,23272,7385,5725,11488,3404
2015,"MUNICIPIO",5007935,"17483",14833,7836,6997,4193,8886,1754,1990,4206,801
2015,"MUNICIPIO",5007950,"11035",10215,5274,4941,3638,5042,1535,1775,2446,720
2015,"MUNICIPIO",5007976,"3570",3518,1807,1711,851,1890,777,410,915,386
2015,"MUNICIPIO",5008008,"19914",17146,9146,8000,4294,8978,3874,2002,4347,1651
2015,"MUNICIPIO",5008305,"113619",101791,50523,51268,23983,57822,19986,11729,28961,10578
2015,"MUNICIPIO",5008404,"6027",5901,2959,2942,1243,3046,1612,605,1521,816
